Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Open Access,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Chan K.B., Chong Y.K., Nazarudin M.",,"The identification of d-N,N-dimethylamphetamine (DMA) in an exhibit in Malaysia",2003,Microgram J.,1,3--4,,163,168,,2,,,,,,,,,,,Scopus,2-s2.0-20544455599,,IFSMS 2004,Drugs,Drugs
"Faulds K., Smith W.E., Graham D., Lacey R.J.",56344934800;55666219200;7403477696;7102207208;,Assessment of silver and gold substrates for the detection of amphetamine sulfate by surface enhanced Raman scattering (SERS),2002,Analyst,127,2,,282,286,,115,10.1039/b107318b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036178808&doi=10.1039%2fb107318b&partnerID=40&md5=178faa08fdbfb7b556566a442a183223,"Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow, G1 1XL, United Kingdom; Police Scientific and Development Branch, Home Office, Sandridge, St. Albans, Herts, AL4 9HQ, United Kingdom","Faulds, K., Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow, G1 1XL, United Kingdom; Smith, W.E., Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow, G1 1XL, United Kingdom; Graham, D., Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow, G1 1XL, United Kingdom; Lacey, R.J., Police Scientific and Development Branch, Home Office, Sandridge, St. Albans, Herts, AL4 9HQ, United Kingdom",,amphetamine; gold; silver; absorption; accuracy; article; chemical analysis; colloid; concentration (parameters); film; light scattering; methodology; quantitative analysis; Raman spectrometry; surface property; vapor,,Article,Final,,Scopus,2-s2.0-0036178808,,IFSMS 2004,Drugs,Drugs
"Herráez-Hernández R., Campíns-Falcó P., Verdú-Andrés J.",7003806955;7005602260;6603545755;,Strategies for the enantiomeric determination of amphetamine and related compounds by liquid chromatography,2002,Journal of Biochemical and Biophysical Methods,54,1--3,,147,167,,36,10.1016/S0165-022X(02)00137-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037207246&doi=10.1016%2fS0165-022X%2802%2900137-9&partnerID=40&md5=d800f68dd4f5bdfb9b3c853bc6b722eb,"Facultad de Quimica, Depto. de Quim. Analitica, Universitat de València, c/ Dr. Moliner, 50, 46100-Burjassot, Valencia, Spain","Herráez-Hernández, R., Facultad de Quimica, Depto. de Quim. Analitica, Universitat de València, c/ Dr. Moliner, 50, 46100-Burjassot, Valencia, Spain; Campíns-Falcó, P., Facultad de Quimica, Depto. de Quim. Analitica, Universitat de València, c/ Dr. Moliner, 50, 46100-Burjassot, Valencia, Spain; Verdú-Andrés, J., Facultad de Quimica, Depto. de Quim. Analitica, Universitat de València, c/ Dr. Moliner, 50, 46100-Burjassot, Valencia, Spain",Amphetamines; Designer drugs; Enantiomeric analysis; Ephedrines; Liquid chromatography,"2,5 dimethoxymethamphetamine; 3,4 methylene dioxyethamphetamine; 3,4 methylene dioxymethamphetamine; 3,4 methylenedioxyamphetamine; amphetamine derivative; beta cyclodextrin derivative; brolamfetamine; ephedrine; hydroxyamphetamine; methamphetamine; norephedrine; pseudoephedrine; unclassified drug; article; automation; chirality; derivatization; drug determination; enantiomer; liquid chromatography; priority journal; stereospecificity; Amphetamines; Chromatography, High Pressure Liquid; Chromatography, Liquid; Humans; Isomerism; Models, Chemical; Reproducibility of Results; Sensitivity and Specificity; Staining and Labeling; Street Drugs; Substance Abuse Detection","Campíns-Falcó, P.; Facultad de Quimica, c/ Dr. Moliner, 50, 46100-Burjassot, Valencia, Spain; email: pilar.campins@uv.es",Article,Final,,Scopus,2-s2.0-0037207246,,IFSMS 2004,Drugs,Drugs
"Liau A.S., Liu J.T., Lin L.C., Chiu Y.C., Shu Y.R., Tsai C.C., Lin C.H.",,Optimisation [sic] of a simple method for the chiral separation of methylamphetamine and related compounds in clandestine tablets and urine samples by beta-cyclodextrin modified capillary electrophoresis: A complementary method to GC-MS,2003,Forensic Science International,134,1,,17,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Lua A.C., Chou T.-Y.",7005056583;7401864847;,Preparation of immunoaffinity columns for direct enantiomeric separation of amphetamine and/or methamphetamine,2002,Journal of Chromatography A,967,2,,191,199,,30,10.1016/S0021-9673(02)00663-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037162914&doi=10.1016%2fS0021-9673%2802%2900663-5&partnerID=40&md5=fd7672b8498a13f9e916af67aacfa0d6,"Department of Medical Technology, Tzu Chi University, 701, Chung Yang Road, Hualien, 970, Taiwan","Lua, A.C., Department of Medical Technology, Tzu Chi University, 701, Chung Yang Road, Hualien, 970, Taiwan; Chou, T.-Y., Department of Medical Technology, Tzu Chi University, 701, Chung Yang Road, Hualien, 970, Taiwan","Amphetamine; Enantiomer separation; Immunoaffinity columns; Methamphetamine; Stationary phases, LC","Affinity chromatography; Bonding; Monoclonal antibodies; pH effects; Mobile phase; Amines; amphetamine; methamphetamine; monoclonal antibody; sepharose; silicon dioxide; antigen binding; article; covalent bond; enantiomer; extraction; high performance liquid chromatography; immunoaffinity chromatography; pH; priority journal; synthesis; urine level; Amphetamine; Chromatography, Affinity; Chromatography, High Pressure Liquid; Methamphetamine; Stereoisomerism","Chou, T.-Y.; Department of Medical Technology, 701, Chung Yang Road Section 3, Hualien 970, Taiwan",Article,Final,,Scopus,2-s2.0-0037162914,,IFSMS 2004,Drugs,Drugs
"Matsushima K., Nagai T., Nihei H., Kikuchi F., Tokudome S.",,Analysis of a new type of tablet containing l-(-)-methylamphetamine,2003,Japanese Journal of Science and Technology for Identification,8,1,,99,,,,https://doi.org/10.3408/jasti.8.99,https://www.jstage.jst.go.jp/article/jasti/8/1/8_1_99/_article/-char/ja/,"Scientific Crime Detection Laboratory, Tochigi Prefectural Police H. Q., Japan; Department of Legal Medicine, Dokkyo University School of Medicine, Japan","Kazumi Matsushima, Scientific Crime Detection Laboratory, Tochigi Prefectural Police H. Q., Japan; Department of Legal Medicine, Dokkyo University School of Medicine, Japan; Toshiaki Nagai, Department of Legal Medicine, Dokkyo University School of Medicine, Japan; Hirohisa Nihei, Scientific Crime Detection Laboratory, Tochigi Prefectural Police H. Q., Japan; Department of Legal Medicine, Dokkyo University School of Medicine, Japan; Futoshi Kikuchi, Scientific Crime Detection Laboratory, Tochigi Prefectural Police H. Q., Japan; Shogo T., Department of Legal Medicine, Dokkyo University School of Medicine, Japan",Methamphetamine; Optical isomer; tablet; GC; HPLC,,,,,,,,,IFSMS 2004,Drugs,Drugs
"Wang S.-M., Liu R.H.",,Solid-phase microextraction based approach for enantiomeric analysis of amphetamines,2004,Proceedings of the American Academy of Forensic Sciences,10,,,72,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
Dal Cason T.A.,6603032103;,"A re-examination of the mono-methoxy positional ring isomers of amphetamine, methamphetamine and phenyl-2-propanone",2001,Forensic Science International,119,2,,168,194,,28,10.1016/S0379-0738(00)00425-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876939&doi=10.1016%2fS0379-0738%2800%2900425-4&partnerID=40&md5=61aafa9d017aa946ef4f76252e52da0f,"Drug Enforcement Administration, N. Ctrl. Lab., Suite 800, 536 S. C., Chicago, IL 60605-1526, United States","Dal Cason, T.A., Drug Enforcement Administration, N. Ctrl. Lab., Suite 800, 536 S. C., Chicago, IL 60605-1526, United States",Methylenedioxymethamphetamine; P-Methoxyamphetamine; P-Methoxymethamphetamine,"1 (2 methoxyphenyl)isopropylamine; 1 (3 methoxyphenyl)isopropylamine; 2 methoxyamphetamine hydrochloride; 2 methoxymethamphetamine; 2 methoxymethamphetamine hydrochloride; 2' methoxyphenyl 2 propanone; 3 methoxyamphetamine hydrochloride; 3 methoxymethamphetamine; 3 methoxymethamphetamine hydrochloride; 3' methoxyphenyl 2 propanone; 3,4 methylenedioxymethamphetamine; 4 methoxyamphetamine; 4 methoxyamphetamine hydrochloride; 4 methoxymethamphetamine; 4' methoxyphenyl 2 propanone; amphetamine; amphetamine derivative; benzene derivative; ketone; methamphetamine; n acetyl 2 methoxyamphetamine; n acetyl 2 methoxymethamphetamine; n acetyl 3 methoxyamphetamine; n acetyl 3 methoxymethamphetamine; n acetyl 4 methoxyamphetamine; n acetyl 4 methoxymethamphetamine; phenyl 2 propanone; propiophenone; pseudoephedrine; unclassified drug; unindexed drug; article; death; gas chromatography; infrared spectroscopy; isomer; mass spectrometry; melting point; priority journal; proton nuclear magnetic resonance; synthesis; tablet; Acetone; Amphetamine; Amphetamines; Cause of Death; Chemistry, Pharmaceutical; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Hallucinogens; Humans; Isomerism; Magnetic Resonance Spectroscopy; Methamphetamine; N-Methyl-3,4-methylenedioxyamphetamine; Spectrophotometry, Infrared; Substance Abuse Detection; United States","Dal Cason, T.A.; Drug Enforcement Administration, 536 South Clark Street, Chicago, IL 60605-1526, United States; email: dalcanson@juno.com",Article,Final,,Scopus,2-s2.0-0035876939,,IFSMS 2004,Drugs,Drugs
"Mortier K.A., Dams R., Lambert W.E., De Letter E.A., Van Calenbergh S., De Leenheer A.P.",,Determination of paramethoxyamphetamine and other amphetamine-related designer drugs by liquid chromatography/sonic spray ionization mass spectrometry,2002,Rapid Communications in Mass Spectrometry,16,9,,865,,,,,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/epdf/10.1002/rcm.657,"Mortier K.A., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Dams R., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Lambert W.E., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; De Letter E.A., Vakgroep Gerechtelijke Geneeskunde, Universiteit Gent, Jozef Kluyskensstraat 29, B-9000 Gent, Belgium; Van Calenbergh S., Laboratorium voor Medicinale Chemie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; De Leenheer A.P., Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium","Laboratorium voor Toxicologie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium; Vakgroep Gerechtelijke Geneeskunde, Universiteit Gent, Jozef Kluyskensstraat 29, B-9000 Gent, Belgium; Laboratorium voor Medicinale Chemie, Universiteit Gent, Harelbekestraat 72, B-9000 Gent, Belgium",,,,,,,,,,IFSMS 2004,Drugs,Drugs
Bartzatt R.,7003453410;,"Determination of barbituric acid, utilizing a rapid and simple colorimetric assay",2002,Journal of Pharmaceutical and Biomedical Analysis,29,5,,909,915,,22,10.1016/S0731-7085(02)00168-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037205823&doi=10.1016%2fS0731-7085%2802%2900168-1&partnerID=40&md5=5db99edd85994bb966395b6d5491ae4a,"Chemistry Department, College of Arts and Sciences, University of Nebraska, Omaha, NE 68182-0109, United States","Bartzatt, R., Chemistry Department, College of Arts and Sciences, University of Nebraska, Omaha, NE 68182-0109, United States",Barbiturates; Barbituric acid; Violuric acid,acid; barbituric acid; inorganic salt; unclassified drug; violuric acid; absorption; article; calculation; colorimetry; drug determination; liquid; priority journal; solid; spectrophotometry; Barbiturates; Colorimetry,"Bartzatt, R.; Chemistry Department, , Omaha, NE 68182-0109, United States; email: bartzatt@unomaha.edu",Article,Final,,Scopus,2-s2.0-0037205823,,IFSMS 2004,Drugs,Drugs
"Chang W.-T., Smith J., Liu R.H.",26660550700;57226060293;7404552094;,Isotopic analogs as internal standards for quantitative GC/MS analysis - Molecular abundance and retention time difference as interference factors,2002,Journal of Forensic Sciences,47,4,,873,881,,9,10.1520/jfs15451j,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036317886&doi=10.1520%2fjfs15451j&partnerID=40&md5=3f03fcb874ff0b53b660642a6e1ff413,"Department of Forensic Science, Central Police University, Taoyuan, Taiwan; Graduate Program in Forensic Science, University of Alabam at Birmingham, Birmingham, AL, United States","Chang, W.-T., Department of Forensic Science, Central Police University, Taoyuan, Taiwan; Smith, J., Graduate Program in Forensic Science, University of Alabam at Birmingham, Birmingham, AL, United States; Liu, R.H., Graduate Program in Forensic Science, University of Alabam at Birmingham, Birmingham, AL, United States",Barbiturate; Cross-contribution; Forensic science; GC/MS; Internal standard; Quantitation,butalbital; deuterium; hydrogen; isotope; methohexital; pentobarbital; phenobarbital; secobarbital; analytic method; calibration; concentration response; conference paper; drug determination; gas chromatography; ion pair chromatography; mass spectrometry; nonlinear system; priority journal; quantitative analysis; standard,"Liu, R.H.; Department of Justice Sciences, , Birmingham, AL 35294-2060, United States; email: rayliu@uab.edu",Conference Paper,Final,,Scopus,2-s2.0-0036317886,,IFSMS 2004,Drugs,Drugs
"Forgács E., Cserháti T., Miksik I., Echardt A., Deyl Z.",7102310338;7102477383;7005959854;6506039012;7102868928;,Simultaneous effect of organic modifier and physicochemical parameters of barbiturates on their retention on a narrow-bore PGC column,2004,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,800,1--2,,259,262,,7,10.1016/j.jchromb.2003.10.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0348047454&doi=10.1016%2fj.jchromb.2003.10.050&partnerID=40&md5=b54ceab1430a1cdd357374cd0bcae700,"Res. Lab. Mat. Enviromental Chem., Chemical Research Centre, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary; Institute of Physiology, Czech Academy of Sciences, Prague, Czech Republic","Forgács, E., Res. Lab. Mat. Enviromental Chem., Chemical Research Centre, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary; Cserháti, T., Res. Lab. Mat. Enviromental Chem., Chemical Research Centre, Hungarian Academy of Sciences, P.O. Box 17, 1525 Budapest, Hungary; Miksik, I., Institute of Physiology, Czech Academy of Sciences, Prague, Czech Republic; Echardt, A., Institute of Physiology, Czech Academy of Sciences, Prague, Czech Republic; Deyl, Z., Institute of Physiology, Czech Academy of Sciences, Prague, Czech Republic",Barbiturates; Porous graphitized carbon,Chemical modification; Chromatographic analysis; Electrostatics; Graphite; Physical chemistry; Porous materials; Regression analysis; Organic modifiers; Stepwise regression analysis (SRA); Biomedical engineering; barbituric acid derivative; carbon; dioxane; graphite; water; analytical equipment; column chromatography; conference paper; electricity; mathematical computing; physical chemistry; porosity; priority journal; regression analysis; solute,"Forgács, E.; Res. Lab. Mat. Enviromental Chem., P.O. Box 17, 1525 Budapest, Hungary; email: forgacs@cric.chemres.hu",Conference Paper,Final,,Scopus,2-s2.0-0348047454,,IFSMS 2004,Drugs,Drugs
"Jones J.J., Kidwell H., Games D.E.",55488151500;6508005039;7005504745;,Application of atmospheric pressure chemical ionisation mass spectrometry in the analysis of barbiturates by high-speed analytical countercurrent chromatography,2003,Rapid Communications in Mass Spectrometry,17,14,,1565,1572,,19,10.1002/rcm.1086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037932410&doi=10.1002%2frcm.1086&partnerID=40&md5=a554a412e45231051497e4b3c34296f1,"Mass Spectrometry Research Unit, University of Wales Swansea, Grove Building, Singleton Park, Swansea SA2 8PP, United Kingdom; Molecular Nature Ltd., Aberystwyth, Ceredigion SY23 3EB, United Kingdom","Jones, J.J., Mass Spectrometry Research Unit, University of Wales Swansea, Grove Building, Singleton Park, Swansea SA2 8PP, United Kingdom; Kidwell, H., Molecular Nature Ltd., Aberystwyth, Ceredigion SY23 3EB, United Kingdom; Games, D.E., Mass Spectrometry Research Unit, University of Wales Swansea, Grove Building, Singleton Park, Swansea SA2 8PP, United Kingdom",,acetonitrile; allobarbital; barbital; barbituric acid derivative; butalbital; butyronitrile; phenobarbital; solvent; water; article; counter current chromatography; electric potential; flow rate; high performance liquid chromatography; mass spectrometer; mass spectrometry; rotation,"Jones, J.J.; Mass Spectrometry Research Unit, Singleton Park, Swansea SA2 8PP, United Kingdom; email: 147437@swan.ac.uk",Article,Final,,Scopus,2-s2.0-0037932410,,IFSMS 2004,Drugs,Drugs
"Kepczýska E., Bojarski J., Pyka A.",6505570339;7005671748;7005031608;,Lipophilicity of Barbiturates Determined by TLC,2003,Journal of Liquid Chromatography and Related Technologies,26,19,,3277,3287,,6,10.1081/JLC-120025523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345687502&doi=10.1081%2fJLC-120025523&partnerID=40&md5=f956887103579ed00afec2ab17310992,"Department of Organic Chemistry, Med. Coll. of Jagiellonian Univ., Kraków, Poland; Department of Analytical Chemistry, Faculty of Pharmacy, Silesian Academy of Medicine, Sosnowiec, Poland; Department of Analytical Chemistry, Faculty of Pharmacy, Silesian Academy of Medicine, 4 Jagiellonska Street, 41-200 Sosnowiec, Poland","Kepczýska, E., Department of Organic Chemistry, Med. Coll. of Jagiellonian Univ., Kraków, Poland; Bojarski, J., Department of Organic Chemistry, Med. Coll. of Jagiellonian Univ., Kraków, Poland; Pyka, A., Department of Analytical Chemistry, Faculty of Pharmacy, Silesian Academy of Medicine, Sosnowiec, Poland, Department of Analytical Chemistry, Faculty of Pharmacy, Silesian Academy of Medicine, 4 Jagiellonska Street, 41-200 Sosnowiec, Poland",Barbiturates; Lipophilicity; TLC method; Topological indices,Methanol; Thin layer chromatography; Water; Lipophilicity; Carboxylic acids; barbituric acid derivative; methanol; water; article; correlation analysis; drug solubility; linear system; lipophilicity; mathematical computing; mathematical model; parameter; quantitative structure activity relation; statistical significance; thin layer chromatography,"Pyka, A.; Department of Analytical Chemistry, 4 Jagiellonska Street, 41-200 Sosnowiec, Poland; email: alinapyka@wp.pl",Article,Final,,Scopus,2-s2.0-0345687502,,IFSMS 2004,Drugs,Drugs
"Aebi B., Sturny-Jungo R., Bernhard W., Blanke R., Hirsch R.",6602780119;15828645400;7102221976;15827533500;57197944931;,Quantitation using GC-TOF-MS: Example of bromazepam,2002,Forensic Science International,128,1--2,,84,89,,30,10.1016/S0379-0738(02)00165-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037077805&doi=10.1016%2fS0379-0738%2802%2900165-2&partnerID=40&md5=1736a162cb4e045e45bd8e820e7c3df9,"Forensic Chemistry and Toxicology, Institute of Legal Medicine, University of Berne, Bühlstrasse 20, CH-3012 Berne, Switzerland; LECO Instrumente GmbH, Marie-Bernays-Ring 31, D-41199 Mönchengladbach, Germany","Aebi, B., Forensic Chemistry and Toxicology, Institute of Legal Medicine, University of Berne, Bühlstrasse 20, CH-3012 Berne, Switzerland; Sturny-Jungo, R., Forensic Chemistry and Toxicology, Institute of Legal Medicine, University of Berne, Bühlstrasse 20, CH-3012 Berne, Switzerland; Bernhard, W., Forensic Chemistry and Toxicology, Institute of Legal Medicine, University of Berne, Bühlstrasse 20, CH-3012 Berne, Switzerland; Blanke, R., LECO Instrumente GmbH, Marie-Bernays-Ring 31, D-41199 Mönchengladbach, Germany; Hirsch, R., LECO Instrumente GmbH, Marie-Bernays-Ring 31, D-41199 Mönchengladbach, Germany",Benzodiazepines; Bromazepam; GC-ECD; GC-MS; HPLC-DAD; Quantitation; Time-of-flight mass spectrometry (TOF-MS),"benzodiazepine derivative; bromazepam; diazepam; medazepam; nordazepam; blood; conference paper; controlled study; correlation coefficient; forensic medicine; gas chromatography; high performance liquid chromatography; human; liquid chromatography; mass spectrometry; matrix assisted laser desorption ionization time of flight mass spectrometry; priority journal; qualitative analysis; quantitative analysis; validation process; Anti-Anxiety Agents; Bromazepam; Chromatography, High Pressure Liquid; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans","Aebi, B.; Forensic Chemistry and Toxicology, Bühlstrasse 20, CH-3012 Berne, Switzerland; email: beat.aebi@irm.unibe.ch",Conference Paper,Final,,Scopus,2-s2.0-0037077805,,IFSMS 2004,Drugs,Drugs
"Bakavoli M., Kaykhaii M.",7003554891;6506742636;,"Quantitative determination of diazepam, nitrazepam and flunitrazepam in tablets using thin-layer chromatography-densitometry technique",2003,Journal of Pharmaceutical and Biomedical Analysis,31,6,,1185,1189,,25,10.1016/S0731-7085(03)00027-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037430778&doi=10.1016%2fS0731-7085%2803%2900027-X&partnerID=40&md5=0c19a508597fce2684193594566fe54e,"Department of Chemistry, Faculty of Sciences, Ferdowsi University, Mashhad 91779, Iran; Department of Chemistry, Faculty of Sciences, Sistan and Balouchestan University, Zahedan 98135-674, Iran","Bakavoli, M., Department of Chemistry, Faculty of Sciences, Ferdowsi University, Mashhad 91779, Iran; Kaykhaii, M., Department of Chemistry, Faculty of Sciences, Sistan and Balouchestan University, Zahedan 98135-674, Iran",Benzodiazepines; Reversed phase HPLC; TLC-densitometry,acetone; chloroform; diazepam; flunitrazepam; nitrazepam; silica gel; article; densitometry; evaporation; high performance liquid chromatography; priority journal; quantitative analysis; room temperature; tablet; thin layer chromatography; ultrasound; ultraviolet radiation,"Bakavoli, M.; Department of Chemistry, , Mashhad 91779, Iran; email: mbakavoli@yahoo.com",Article,Final,,Scopus,2-s2.0-0037430778,,IFSMS 2004,Drugs,Drugs
"Benson A., Rose S., Hsu Y., Furton K.G., Sabucedo A.",,LC/MS analysis of flunitrazepam (Rohypnol) solid dosage tablets,2004,Proceedings of the American Academy of Forensic Sciences,10,,,78,,,,,,,,,,,,,,,,,IFSMS 2004,Drugs,Drugs
