"Keyword","Scopus","IFSMS"
"1-(3-CHLOROPHENYL) PIPERAZINE",2,NA
"1-(3-CHLOROPHENYL)PIPERAZINE",1,2
"1-(3-TRIFLUOROMETHYLPHENYL) PIPERAZINE",1,NA
"1-(3,4-METHYLENEDIOXYPHENYL)-2-(1-PYRROLIDINYL)-1-BUTANONE, MDPBP",1,NA
"1-（3,4-METHYLENEDIOXYPHENYL）-2-（DIMETHYLAMINO）BUTAN-1-ONE （DIBUTYLONE",1,NA
"1-(4-METHYLPHENYL)-2-(PROPYLAMINO)-1-BUTANONE",1,1
"1-[3-(TRIFLUOROMETHYL) PHENYL] PIPERAZINE",1,NA
"1-[3-TRIFLUOROMETHYLPHENYL]-PIPERAZINE",1,1
"1-[4-METHOXYPHENYL]-PIPERAZINE",1,1
"1-2-NAPTHOQUINONE-4-SULFONATE",1,NA
"1-BENZYL-3-METHYLNAPHTHALENE",1,1
"1-BENZYL-4-METHYLPIPERAZINE",1,1
"1-BENZYL-PIPERAZINE",1,1
"1-BUTYL-3-(2-METHOXYBENZOYL)INDOLE",1,1
"1-CHLOROBUTANE",1,NA
"1-CHLOROETHYL CHLOROFORMATE",1,NA
"1-HYDROXY-1-PHENYL-2-PROPANONE",1,1
"1-HYDROXYMETHYLTRIAZOLAM",1,NA
"1-METHYLNAPHTHALENE",1,NA
"1-OCTEN-3-OL",1,NA
"1-PENTYL-3-(1-NAPHTHOYL)INDOLE",1,1
"1-PENTYL-3-(2-IODOBENZOYL)INDOLE",1,1
"1-PENTYL-3-(2-METHOXYBENZOYL)INDOLE",1,1
"1-PENTYL-3-(2-METHOXYPHENYLACETYL)INDOLE",1,1
"1-PHENYL-1,2-PROPANEDIOL",1,1
"1-PHENYL-1,2-PROPANEDIONE",1,1
"1-PHENYL-2-(PYRROLIDIN-1-YL) PENTAN-1-OL (OH-Α-PVP)",1,NA
"1-PHENYL-2-(PYRROLIDIN-1-YL)OCTAN-1-ONE",2,NA
"1-PHENYL-2-(PYRROLIDIN-1-YL)PENTAN-1- OL (OH-Α-PVP)",1,NA
"1-PHENYL-2-PROPANOL",1,2
"1-PHENYL-2-PROPANONE",5,5
"1-PHENYLETHYLAMINE",1,1
"1-PHENYLPROPAN-2-ONE",1,NA
"1-PROPANOL",1,NA
"1-PROPANOYL-LYSERGIC ACID DIETHYLAMIDE (1P-LSD)",1,NA
"1-PYRENYLDIAZOMETHANE",1,NA
"1 H NMR",1,NA
"1,1-DIFLUOROETHANE",1,NA
"1,1′-CARBONYLDIIMIDAZOLE (CDI)",1,NA
"1,2-DIARYLETHYLAMINES",1,NA
"1,2-INDANEDIONE",19,NA
"1,2,4,-TRIAZINES",1,NA
"1,3 DIMETHYLAMYLAMINE (DMAA)",1,NA
"1,3,5-TRICHLORO-1,3,5-TRIAZINANE-2,4,6-TRIONE",1,NA
"1,4-BENZODIAZEPINE IDENTIFICATION",1,NA
"1,4-BENZODIAZEPINES",3,1
"1,4-BUTANEDIOL",7,3
"1,4-DIPHENYL-2(O)-ACETYL-BUTANE-2,3-DIOL",1,NA
"1,4-DIPHENYL-3-HYDROXY-2-BUTANO NE",1,NA
"1,4-DIPHENYLBUTANE-2,3-DIOL",1,NA
"1,8-DIAMINONAPHTHALENE",1,NA
"1,8-DIAZAFLUOREN-9-ONE (DFO)",17,NA
"1,8-DIAZAFLUOREN-9-ONE(DFO)",1,NA
"1,8-DIAZAFLUORENONE",1,NA
"1.4-BUTANEDIOL",1,NA
"10-HYDROXYCARBAZEPINE",1,NA
"10-HYDROXYOCTADECANOIC ACID",1,NA
"101-25-7",1,NA
"1064 NM",1,NA
"11- NOR-DELTA-9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID",1,NA
"11- NOR-DELTA9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID",1,NA
"11-CARBOXY-DELTA-9-TETRAHYDROCANNABINOL",1,NA
"11-HYDROXY-TETRAHYDROCANNABINOL",1,NA
"11-HYDROXY-Δ 9-TETRAHYDROCANNABINOL",1,NA
"11-HYDROXY-Δ9-TETRAHYDROCANNABINOL",1,NA
"11-HYDROXYLATION",1,NA
"11-NOR-9-CARBOXY-DELTA-TETRAHYDROCANNABINOL",1,NA
"11-NOR-9-CARBOXY-DELTA9-TETRAHYDROCANNABINOL",1,NA
"11-NOR-9-CARBOXY-TETRAHYDROCANNABINOL",2,NA
"11-NOR-9-CARBOXY-THC",1,1
"11-NOR-9-CARBOXY-Δ9- TETRAHYDROCANNABINOL",1,NA
"11-NOR-9-CARBOXY-Δ9-TETRAHYDROCANNABINOL",1,NA
"11-NOR-9-CARBOXY-Δ9-TETRAHYDROCANNABINOL (THCCOOH)",1,NA
"11-NOR-DELTA-9- TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID",1,NA
"11-NOR-DELTA-9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID ETHYL ESTER",1,NA
"11-NOR-DELTA9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID",1,NA
"11-NOR-Δ9-CARBOXY TETRAHYDROCANNABINOL GLUCURONIDE",1,NA
"11-NOR-Δ9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID",1,NA
"11-NOR-Δ9-TETRAHYDROCANNABINOL-9-CARBOXYLIC ACID (THCA)",1,NA
"12 SAMPLES SIMULTANEOUS WITHIN LESS THAN 2 MINUTES",1,NA
"125I-LABELED METHAMPHETAMINE",1,NA
"137 BA",1,NA
"137 CS",1,NA
"13C-LABELLED INTERNAL STANDARDS",1,NA
"13C ISOTOPE CALIBRATION",1,NA
"13C4-SECOBARBITAL",1,1
"14-C BOMB SPIKE",1,1
"14C-HEXACHLOROBENZENE",1,NA
"16-O-DEMETHYLACONITINE",1,NA
"16-O-DEMETHYLHYPACONITINE",1,NA
"160TB AND 161TB",1,NA
"16S RRNA",2,NA
"16SRRNA GENE",1,NA
"16Β-HYDROXY STEROID",1,NA
"16Β-HYDROXYMESTANOLONE",1,NA
"17Α-ALKYL ANABOLIC STEROID",1,NA
"18FDG",1,NA
"19-NORTESTOSTERONE",1,1
"1D AND 2D NMR",1,1
"1H",2,3
"1H- NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY (1H-NMR)",1,NA
"1H-NMR",2,6
"1H NMR",1,10
"1H NMR SPECTROSCOPY",1,NA
"2- AND 3-METHYLBUTYRIC ACID",1,NA
"2-(2-ETHYLAMINOPROPYL)BENZOFURAN (2-EAPB)",1,1
"2-(2-FL UOROPHENYL)-2-METHYLAMINO-CYCLOHEXANONE",1,NA
"2-(4-BROMO-2,5-DIMETHOXYPHENYL)-N-(2-METHOXYBENZYL)ETHANAMINE",1,NA
"2-(4-BROMO-2,5-DIMETHOXYPHENYL)-N-[(2-METHOXYPHENYL)METHYL]ETHANAMINE, 25B-NBOME",1,NA
"2-(8-QUINOLYLAZO)-4,5-DI-P-TOLYLIMIDAZOLE (QTI)",1,NA
"2-(DIMETHYLAMINO)ETHYL-(1-HYDROXYCYCLOPENTYL)(PHENYL) ACETATE",1,NA
"2-(DIMETHYLAMINO)ETHYL-(1-HYDROXYCYCLOPENTYL)(PHENYL)ACETATE",1,NA
"2-(ETHYLAMINO)-1-(4-METHYLPHENYL)-1-PENTANONE",1,1
"2-ACETAMIDOPHENOL",1,NA
"2-AMINO-3-HYDROXY-5-BROMOBENZOYLPYRIDINE",1,NA
"2-AMINO-5-CHLOROPYRIDINE",2,1
"2-AMINO-N-ETHYL-1-PHENYLBUTANE",1,NA
"2-AMINOPROPYLINDOLE",1,1
"2-AMINOTHIAZOLINE-4-CARBOXYLIC ACID (ATCA)",2,NA
"2-BROMOHEXANOYLUREA",1,NA
"2-BUTANOL",1,NA
"2-BUTANONE",1,NA
"2-CHLORO-4,5-METHYLENEDIOXYAMPHETAMINE",1,1
"2-CHLORO-4,5-METHYLENEDIOXYMETHYLAMPHETAMINE",1,1
"2-CHLOROBENZALDEHYDE",1,NA
"2-CHLOROBENZALMALONONITRILE",1,NA
"2-DIMENSIONAL SENSING",1,NA
"2-DIMETHYLAMINO-1-(3,4-METHYLENEDIOXYPHENYL)PROPAN-1-ONE",1,1
"2-DPMP",2,NA
"2-ETHYL-5-METHYL-3,3-DIPHENYL-1-PYRROLINE",1,NA
"2-ETHYLAMINO-1-(3,4-METHYLENEDIOXYPHENYL) PROPAN-1-ONE",1,1
"2-ETHYLIDENE-1,5-DIMETHYL-3, 3-DIPHENYLPYRROLIDINE",1,NA
"2-ETHYLIDENE-1,5-DIMETHYL-3,3-DIPHENYLPYRROLIDINE",1,NA
"2-ETHYLIDINE-1",1,NA
"2-FLUORODESCHLOROKETAMINE",1,NA
"2-FLUOROMETHAMPHETAMINE",1,2
"2-HYDROXY-1-PHENYL-1-PROPANONE",1,1
"2-HYDROXYBENZOYL-PALIPERIDONE",1,NA
"2-HYDROXYBENZOYL-RISPERIDONE",1,NA
"2-MAPB",1,1
"2-METHYL-3-O-TOLYL-4(3H)-QUINAZOLINONE",1,1
"2-METHYLAMINO-1-(3,4- METHYLENEDIOXYPHENYL)BUTAN-1-ONE",1,1
"2-METHYLFENTANYL",1,NA
"2-NBDG",1,NA
"2-OXO-3-HYDROXY-LSD",1,NA
"2-OXO-PCE",1,NA
"2-OXOQUAZEPAM",1,NA
"2-PROPANOL",1,NA
"2-ΜM SILICA GEL",1,NA
"2,2,2-TRICHLOROETHYL CHLOROFORMATE",1,NA
"2,2′-DIPYRIDYL",1,NA
"2,3-ISOMERS",1,1
"2,4-DECADIENAL",1,NA
"2,4-DICHLORO-6-NITROPHENOL",1,NA
"2,4-DICHLOROPHENOL (2,4-DCP)",1,NA
"2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)",1,NA
"2,4-DIMETHYL-3,5-BIS(4'-METHOXYPHENYL) TETRAHYDROFURAN",1,1
"2,4-DINITROPHENOL",1,NA
"2,4-DINITROPHENOL (DNP)",2,NA
"2,4 DINITROTOLUENE (DNT)",4,NA
"2,4,6 TRINITROTOLUENE (TNT)",11,NA
"2,5-DIMETHOXY-4-BROMAMPHETAMINE (DOB)",1,NA
"2,5-DIMETHOXY-4-BROMOAMPHETAMINE",2,1
"2,5-DIMETHOXY-4-ETHYLTHIO-Β-PHENETHYLAMINE",1,NA
"2,5-DIMETHOXY-4-METHYLAMPHETAMINE",1,1
"2,5-DIMETHOXYAMPHETAMINE",1,NA
"2,5-DIMETHOXYAMPHETAMINE (DMA)",1,1
"2,5-DIMETHOXYPHENETHYLAMINE ANALOGUES",1,1
"2,5-PHENETHYLAMINES",1,NA
"2,5,-DIMETHOXY-4-BROMOAMPHETAMINE",1,1
"2,6-DIPN",1,1
"206PB/207PB",1,NA
"226RA",1,NA
"227AC",1,NA
"23 YEARS OF POST-MORTEM INTERVAL",1,NA
"230TH/234U AGE-DATING",1,NA
"231PA",2,NA
"233PA",1,NA
"233PA SPIKE",1,NA
"233U",1,NA
"234U/230TH",1,NA
"235U/231PA",1,NA
"241AM",3,NA
"241PU",1,NA
"243AM",2,NA
"244PU",1,NA
"25B-NBOME",4,4
"25C-NBOME",2,4
"25H-NBOME 3,4,5-TRIMETHOXYBENZYL ANALOG",1,NA
"25I-NBOH",5,5
"25I-NBOM.E.",1,NA
"25I-NBOME",5,7
"25X-NBOME",1,2
"28S",1,NA
"2C",1,2
"2C-B",12,7
"2C-C",1,4
"2C-I",5,7
"2C-I NBOM.E.",1,NA
"2C-N-NBOME",1,NA
"2C-P",1,NA
"2C-T-2",2,4
"2C-T-7",2,5
"2CB-AMINONITRILE (2C-B-AN)",1,NA
"2D-GC",1,NA
"2D CHROMATOGRAPHY",1,1
"2D7 ANTIBODY",1,NA
"2DE",1,NA
"2F-DCK",1,1
"2F-DESCHLOROKETAMINE",1,NA
"2F-MT-45",1,1
"2H3‐LORAZEPAM",1,NA
"2H5-SECOBARBITAL",1,1
"2ND DERIVATIVE",1,1
"3",1,1
"3-(2-PYRIDYL)-5,6-DIPHENYL-1,2,4-TRIAZINE",1,NA
"3-(2-PYRIDYL)-5,6-DIPHENYL-1,2,4-TRIAZINE (PDT)",2,NA
"3-CHLORO-L-TYROSINE",1,NA
"3-CMC",1,NA
"3-D STRUCTURE",1,NA
"3-DIMENSIONAL (3D) PRINTING",1,NA
"3-DIPHENYLPYRROLIDINE (EDDP)",1,NA
"3-FLUOROMETHCATHINONE",1,NA
"3-FLUOROPHENMETRAZINE",1,NA
"3-FPM",2,NA
"3-GALACTOSE",1,NA
"3-HO-PCP",1,NA
"3-HYDROXY-2-OXOQUAZEPAM",1,NA
"3-HYDROXYBROMAZEPAM",1,NA
"3-HYDROXYFLUNITRAZEPAM",1,NA
"3-IT",1,1
"3-MEO-PCE",1,1
"3-MEO-PCP",3,1
"3-METHOXYPHENCYCLIDINE",1,2
"3-METHOXYTYRAMINE",1,NA
"3-METHYL-4-NITROPHENOL",1,NA
"3-METHYL PENTANOIC ACID",1,NA
"3-METHYLCROTONYLFENTANYL",1,NA
"3-METHYLEPHEDRINE",1,NA
"3-METHYLFENTANYL",7,2
"3-METHYLFENTANYL ANALOG",1,1
"3-METHYLMETHCATHINONE",3,2
"3-METHYLNOREPHEDRINE",1,NA
"3-METHYLPHOSPHONICOACETIC ACID (MPPA)",1,NA
"3-MMC",2,1
"3-PHENOXYBENZOIC ACID",1,NA
"3 MEO-PCP",1,NA
"3, 4-METHYLENEDIOXY-N-METHYLCATHINONE",1,NA
"3,3,6,6,9,9-HEXAMETHYL-1,2,4,5,7,8-HEXOXONANE",2,NA
"3,4- DICHLORO-N-(2-(DIMETHYLAMINO)CYCLOHEXYL)-N-METHYLBENZAMIDE",1,NA
"3,4- METHYLENEDIOXYAMPHETAMINE",1,NA
"3,4-(METHYLENEDIOXY)AMPHETAMINE (MDA)",1,NA
"3,4-(METHYLENEDIOXY)METHAMPHETAMINE (MDMA)",1,NA
"3,4-DIMETHYLMETHCATHINONE",2,NA
"3,4-DIMETHYLMETHCATHINONE (3,4-DMMC)",2,NA
"3,4-MDMA",1,1
"3,4-MDP-2-P",1,1
"3,4-MDPHP",1,1
"3,4-METHYIENEDIOXYMETHAMPHETAMINE",2,2
"3,4-METHYLENEDIOXY-ALPHA-PHP",1,NA
"3,4-METHYLENEDIOXY-N- ISOPROPYLAMPHETAMINE (MDIP)",1,NA
"3,4-METHYLENEDIOXY-N-BENZYLAMPHETAMINE (MDBZ)",1,NA
"3,4-METHYLENEDIOXY-N-CYCLOPROPYLMETHYLAMPHETAMINE (MDCPM)",1,NA
"3,4-METHYLENEDIOXY-N-ETHYLAMPHETAMINE (MDEA)",5,5
"3,4-METHYLENEDIOXY-N-METHYLAMPHETAMINE (MDMA)",2,3
"3,4-METHYLENEDIOXY-N,N-DIMETHYL-AMPHETAMINE",1,NA
"3,4-METHYLENEDIOXY-U-47700",1,NA
"3,4-METHYLENEDIOXYAMPHETAMINE (MDA)",26,16
"3,4-METHYLENEDIOXYAMPHETAMINES (MDAS)",1,NA
"3,4-METHYLENEDIOXYETHYLAMPHETAMINE",2,NA
"3,4-METHYLENEDIOXYMETHAMPHETAMINE (MDMA)",161,194
"3,4-METHYLENEDIOXYPHENYLACETONE",1,1
"3,4-METHYLENEDIOXYPYROVALERONE",2,NA
"3,4-METHYLENEDIOXYPYROVALERONE (MDPV)",1,1
"3,4,5-TRIMETHOXYAMPHETAMINE",1,NA
"3,5-DIMETHOXYPHENOL",2,NA
"3,5-DIMETHOXYPHENOL, AS A MARKER FOR TAXUS INGESTION",1,NA
"3,6-DIACETYLMORPHINE",2,2
"3,7- DINITROSO-1,3,5,7-TETRAAZABICYCLO[3.3.1]-NONANE",1,NA
"31P MRS",1,NA
"32P- PRELABEL",1,NA
"39 DRUGS",1,NA
"3D-DRAWING-PEN",1,NA
"3D-MORSE DESCRIPTORS",1,1
"3D MODELS",1,NA
"3D MOMENTS",1,NA
"3D ORGANS",1,NA
"3D PRINTING",5,2
"3D PRINTING FILAMENT",1,NA
"3D SCANNING",1,NA
"4'-CHLORODIAZEPAM",1,NA
"4- (4-METHOXYBENZYL)PYRIMIDINE",1,1
"4- CARBETHOXYHEXAFLUOROBUTYRYL",1,NA
"4- CARBETHOXYHEXAFLUOROBUTYRYL DERIVATIVE",1,NA
"4-(4-METHYLTHIOBENZYL)PYRIMIDINE",1,1
"4-(METHOXYPHENYL)(1-PENTYL-1H-INDOL-3-YL)METHANONE",1,1
"4-ACETAMIDOPHENOL",1,NA
"4-ACO-DMT",1,NA
"4-AMINOANTIPYRINE",1,NA
"4-ANILINOPIPERIDINE-T-BOC",1,1
"4-ANPP",2,NA
"4-BENZYLPYRIMIDINE",1,1
"4-BMC",1,NA
"4-BROMO-2,5-DIMETHOXYAMPHETAMINE",1,NA
"4-BROMO-2,5-DIMETHOXYAMPHETAMINE (DOB)",1,1
"4-BROMOMETHCATHINONE",1,1
"4-CHLOROMETHCATHINONE",2,1
"4-CHLOROTESTOSTERONE",1,NA
"4-CMC",2,NA
"4-DIMETHYLPHENYL-N-METHYL-FORMAMIDINE",1,NA
"4-EPITETRODOTOXIN",1,NA
"4-FLUOROAMPHETAMINE",4,NA
"4-FLUOROCYCLOPROPYLBENZYLFENTANYL",1,NA
"4-FLUOROMETHYLPHENIDATE",1,NA
"4-HO-MET",1,NA
"4-HYDROXY-3- METHOXYMETHAMPHETAMINE",1,NA
"4-HYDROXY-3-METHOXYMETHCATHINONE",1,NA
"4-HYDROXY-3-PHENOXYBENZOIC ACID",1,NA
"4-HYDROXYCYCLOHEXYLMETHYL AB-CHMINACA",1,NA
"4-HYDROXYLATION",1,NA
"4-HYDROXYMETHAMPHETAMINE-O-GLUCURONIDE",1,NA
"4-HYDROXYTRIAZOLAM",1,NA
"4-MEC",2,3
"4-METHOXY-Α-PVP",1,NA
"4-METHOXY PV8",1,NA
"4-METHOXYAMPHETAMINE",2,3
"4-METHOXYMETHAMPHETAMINE",2,2
"4-METHYL-5-(4-METHOXYPHENYL)PYRIMIDIN E",1,1
"4-METHYL-5-(4-METHYLTHIOPHENYL )PYRIMIDINE",1,1
"4-METHYL-5-PHENYLPYRIMIDINE",1,1
"4-METHYL GAMMA-HYDROXYBUTYRATE",1,1
"4-METHYL METHCATHINONE",1,NA
"4-METHYLAMINOANTIPYRINE",1,NA
"4-METHYLAMPHETAMINE",1,1
"4-METHYLBUPHEDRINE",1,1
"4-METHYLETHCATHINONE",1,NA
"4-METHYLHEXANE-2-AMINE",1,NA
"4-METHYLIMIDAZOLE",1,NA
"4-METHYLMETHCATHINONE",4,4
"4-METHYLPENTEDRONE",1,1
"4-METHYLPENTEDRONE (4-MPD)",1,NA
"4-METHYLTHIOAMPHETAMINE (4-MTA)",1,4
"4-METHYLTHIOPHENYLISOPROPYLAMINE",1,1
"4-OH-MET",1,NA
"4-PMP",1,NA
"4-S110T",1,NA
"4,4'-DMAR",1,1
"4,4′-DIMETHYLAMINOREX",1,NA
"4,9-ANHYDROTETRODOTOXIN",1,NA
"42-YEAR FOLLOW-UP",1,NA
"454 PYROSEQUENCING",1,NA
"497",1,NA
"4977 BP DELETION",1,NA
"4F-MDMB-BINACA",2,NA
"4F-MDMB-BUTINACA",1,NA
"4F-PBP",1,1
"4F-Α-PVP",1,NA
"4Π LIQUID SCINTILLATION-Γ COINCIDENCE COUNTING",1,NA
"4ΠΑ LIQUID SCINTILLATION",1,NA
"5-(2-AMINOPROPYL)INDOLE",1,1
"5-(4-NITROPHENYL)-2,4-PENTADIEN-1-AL (NPPD)",1,NA
"5-APB",3,NA
"5-DBFPV",1,1
"5-EAPB",1,NA
"5-FLUORO-AB-PINACA",1,3
"5-FLUORO-ADB",2,NA
"5-HT 2 A RECEPTOR AGONIST",1,1
"5-HT2A AND 5-HT2C RECEPTORS",1,NA
"5-HT2A RECEPTOR",1,3
"5-HT2A RECEPTOR AGONIST",1,NA
"5-HYDROXYINDOLEACETIC ACID",1,NA
"5-HYDROXYTRYPTOPHOL",2,NA
"5-HYDROXYTRYPTOPHOL GLUCURONIDE",1,NA
"5-IAI",1,1
"5-IODO-2-AMINOINDAN (5-IAI)",1,NA
"5-IT",2,2
"5-MAPB",2,NA
"5-MEO-DALT",2,NA
"5-MEO-DIPT",5,1
"5-MEO-IPT",1,NA
"5-MEO-MIPT",2,NA
"5-METHOXY-ALPHA-METHYLTRYPTAMINE (5-MEO-AMT)",1,NA
"5-METHOXY-N",1,1
"5-METHOXY-N,N-DI-N-PROPYLTRYPTAMINE",1,NA
"5-METHOXY-N,N-DIALKYLTRYPTAMINE",1,NA
"5-METHOXY-N,N-DIISOPROPYLTRYPTAMINE",4,2
"5-METHOXYNINHYDRIN",1,NA
"5-METHYLTHIONINHYDRIN",4,NA
"5-MTN-L-ALANINE",1,NA
"5-OH-DIPT",1,NA
"5-PPDI",2,1
"5,6,11- TRIDEOXYTETRODOTOXIN",1,NA
"5DIMETHYL-3",1,NA
"5F-ADB",3,1
"5F-ADB-PINACA",1,NA
"5F-ADB AND ITS METHYL ESTER HYDROLYSIS METABOLITE",1,NA
"5F-AKB-48",1,1
"5F-AMB",1,1
"5F-AMB-PINACA/5F-AB-PINACA/5F-ADB",1,NA
"5F-APP-PICA",1,NA
"5F-CUMYL-P7AICA",1,1
"5F-CUMYL-PEGACLONE",1,1
"5F-CUMYL-PICA",1,NA
"5F-EMB-PINACA",1,NA
"5F-MDMB-PICA",2,NA
"5F-MDMB-PINACA",1,NA
"5F-PB-22",1,1
"5F-QUPIC",1,2
"5F-UR-144",1,1
"6- ACETYLMORPHINE",1,NA
"6-ACETYL-MORPHINE",1,NA
"6-ACETYLMORPHINE",10,1
"6-ACETYLMORPHINE (6-AM)",1,NA
"6-AM",1,NA
"6-AM SCREENING IN DUID",1,NA
"6-AM SCREENING IN WDT",1,NA
"6-HYDROXYBENTAZONE",1,NA
"6-MAM",1,NA
"6-MONACETYLOMORPHINE",1,NA
"6-MONOACETHYLMORPHINE",1,NA
"6-MONOACETYL MORPHINE",2,NA
"6-MONOACETYLMORPHINE",7,3
"6-单乙酰吗啡",1,NA
"6,7-DIHYDROXYNOSCAPINE",1,NA
"63NI IONIZATION",1,NA
"6AM",1,NA
"6Α-OXYCODOL",1,NA
"6Β-OXYCODOL",1,NA
"7-[125I]IODOCLONAZEPAM (PURIFICATION)",1,NA
"7-AMINOCLONAZEPAM",3,NA
"7-AMINOFLUNITRAZEPAM",5,NA
"7-AMINOFLUNITRAZEPAM (7-AMINOFM2)",1,NA
"7-AMINONIMETAZEPAM",1,NA
"7-AMINONITRAZEPAM",2,NA
